Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_036670575.1	ASM3667057v1	Lactococcus cremoris		P1D9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKK01		SAMN39783582
GCF_036670625.1	ASM3667062v1	Lactococcus cremoris		P2E5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKL01		SAMN39783583
GCF_036670495.1	ASM3667049v1	Lactococcus cremoris		P2D7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKP01		SAMN39783587
GCF_036670665.1	ASM3667066v1	Lactococcus cremoris		P1B5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKI01		SAMN39783580
GCF_036670705.1	ASM3667070v1	Lactococcus cremoris		P1C8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKG01		SAMN39783578
GCF_036670465.1	ASM3667046v1	Lactococcus cremoris		P1A5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKR01		SAMN39783589
GCF_036670585.1	ASM3667058v1	Lactococcus cremoris		P2B7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKM01		SAMN39783584
GCF_036670615.1	ASM3667061v1	Lactococcus cremoris		P2E3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKJ01		SAMN39783581
GCF_036670525.1	ASM3667052v1	Lactococcus cremoris		P2F11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKQ01		SAMN39783588
GCF_036670545.1	ASM3667054v1	Lactococcus cremoris		P1B8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKO01		SAMN39783586
GCF_036670685.1	ASM3667068v1	Lactococcus cremoris		P1F6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKH01		SAMN39783579
GCF_036670815.1	ASM3667081v1	Lactococcus cremoris		P1F9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKC01		SAMN39783574
GCF_036670565.1	ASM3667056v1	Lactococcus cremoris		P1E10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKN01		SAMN39783585
GCF_036670905.1	ASM3667090v1	Lactococcus cremoris		P2F5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJW01		SAMN39783568
GCF_036670865.1	ASM3667086v1	Lactococcus cremoris		P2F12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJY01		SAMN39783570
GCF_036670845.1	ASM3667084v1	Lactococcus cremoris		P2A4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJZ01		SAMN39783571
GCF_036670745.1	ASM3667074v1	Lactococcus cremoris		P1E5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKE01		SAMN39783576
GCF_036670805.1	ASM3667080v1	Lactococcus cremoris		P1G8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKA01		SAMN39783572
GCF_036670985.1	ASM3667098v1	Lactococcus cremoris		T1C6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJS01		SAMN39783564
GCF_036671045.1	ASM3667104v1	Lactococcus cremoris		T1E11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJR01		SAMN39783563
GCF_036670945.1	ASM3667094v1	Lactococcus cremoris		T1F3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJU01		SAMN39783566
GCF_036671065.1	ASM3667106v1	Lactococcus cremoris		T1G8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJO01		SAMN39783560
GCF_036671115.1	ASM3667111v1	Lactococcus cremoris		T1A9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJM01		SAMN39783558
GCF_036671205.1	ASM3667120v1	Lactococcus cremoris		T1C9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJH01		SAMN39783553
GCF_036671005.1	ASM3667100v1	Lactococcus cremoris		T2F5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJQ01		SAMN39783562
GCF_036671175.1	ASM3667117v1	Lactococcus cremoris		T1B4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJJ01		SAMN39783555
GCF_036670965.1	ASM3667096v1	Lactococcus cremoris		T1C12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJT01		SAMN39783565
GCF_036671015.1	ASM3667101v1	Lactococcus cremoris		T1D5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJP01		SAMN39783561
GCF_036671165.1	ASM3667116v1	Lactococcus cremoris		T2B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJI01		SAMN39783554
GCF_036671105.1	ASM3667110v1	Lactococcus cremoris		T1B8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJL01		SAMN39783557
GCF_036670885.1	ASM3667088v1	Lactococcus cremoris		T2G1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJV01		SAMN39783567
GCF_036671075.1	ASM3667107v1	Lactococcus cremoris		T1D2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJN01		SAMN39783559
GCF_036671135.1	ASM3667113v1	Lactococcus cremoris		T1A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJK01		SAMN39783556
GCF_036670725.1	ASM3667072v1	Lactococcus cremoris		P1E11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKF01		SAMN39783577
GCF_036670765.1	ASM3667076v1	Lactococcus cremoris		P1E1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHKD01		SAMN39783575
GCF_036670915.1	ASM3667091v1	Lactococcus cremoris		P2G1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZHJX01		SAMN39783569
GCF_003346395.1	ASM334639v1	Lactococcus cremoris		KMB_596					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-07-30	QMJD01	33.0	SAMN09398936
GCF_021165615.1	ASM2116561v1	Lactococcus cremoris		WA2-67					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-12-11	JAJONJ01	30.0	SAMN23667354
GCF_005864265.1	ASM586426v1	Lactococcus cremoris		FAM 17891					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-05-23	VBTA01		SAMN11653946
GCF_006351045.1	ASM635104v1	Lactococcus cremoris		DPC 6855					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-15	VERW01		SAMN11960008
GCF_000969475.1	ASM96947v1	Lactococcus cremoris		Mast36					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2015-04-06	JZUI01		SAMN03396775
GCF_037075495.1	ASM3707549v1	Lactococcus cremoris		RMN5F					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-03-08	JAHIBQ01		SAMN19467998
GCF_037075535.1	ASM3707553v1	Lactococcus cremoris		Tola3D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-03-08	JAHIBP01		SAMN19467987
GCF_001622205.1	ASM162220v1	Lactococcus cremoris		KW10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-18	LIYF01		SAMN03770947
GCF_037075585.1	ASM3707558v1	Lactococcus cremoris		RMN8G					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-03-08	JAHIBS01		SAMN19468001
GCF_025131095.1	ASM2513109v1	Lactococcus cremoris		UCMA1720					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEP01		SAMN10365174
GCF_025131055.1	ASM2513105v1	Lactococcus cremoris		EIP53A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEM01		SAMN10365177
GCF_025131025.1	ASM2513102v1	Lactococcus cremoris		EIP58E					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEN01		SAMN10365176
GCF_025131005.1	ASM2513100v1	Lactococcus cremoris		EIP53I					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEL01		SAMN10365178
GCF_025131075.1	ASM2513107v1	Lactococcus cremoris		EIP36F					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEO01		SAMN10365175
GCF_025130995.1	ASM2513099v1	Lactococcus cremoris		EIP53J					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEK01		SAMN10365179
GCF_031583695.1	ASM3158369v1	Lactococcus cremoris		D2022					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-09-17	JAVLSQ01	65.0	SAMN37343840
GCF_027707025.1	ASM2770702v1	Lactococcus cremoris		DRD-208					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQGDE01	41.0	SAMN32600196
GCF_027707045.1	ASM2770704v1	Lactococcus cremoris		DRD-210					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQGDF01	43.0	SAMN32600197
GCF_025211475.1	ASM2521147v1	Lactococcus cremoris		CIRM-BIA 1571					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RILO01		SAMN10365555
GCF_001622285.1	ASM162228v1	Lactococcus cremoris		N41					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-18	LITA01		SAMN03770948
GCF_025130905.1	ASM2513090v1	Lactococcus cremoris		C2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEF01		SAMN10365184
GCF_025130935.1	ASM2513093v1	Lactococcus cremoris		L23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEI01		SAMN10365181
GCF_025211525.1	ASM2521152v1	Lactococcus cremoris		CIRM-BIA 631					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RILY01		SAMN10365545
GCF_009661865.1	ASM966186v1	Lactococcus cremoris		SMQ450					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-11-13	WJVA01		SAMN13152578
GCF_027495675.1	ASM2749567v1	Lactococcus cremoris		MG1614					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-28	JAPZLG01		SAMN31868010
GCF_025130895.1	ASM2513089v1	Lactococcus cremoris		L25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEH01		SAMN10365182
GCF_025211725.1	ASM2521172v1	Lactococcus cremoris		CIRM-BIA 642					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMN01		SAMN10365529
GCF_027495695.1	ASM2749569v1	Lactococcus cremoris		D1_20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-28	JAPZLH01		SAMN31921822
GCF_030005495.1	ASM3000549v1	Lactococcus cremoris		CHLC					GCF_030005495.1-RS_2024_05_14	Scaffold	2023-05-12	JARUVR01	101.0	SAMN34041182
GCF_025130975.1	ASM2513097v1	Lactococcus cremoris		L24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEJ01		SAMN10365180
GCF_025130945.1	ASM2513094v1	Lactococcus cremoris		CNRZ268					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEG01		SAMN10365183
GCF_001622385.1	ASM162238v1	Lactococcus cremoris		NCDO763					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-18	LITG01		SAMN03770950
GCF_001005395.1	ASM100539v1	Lactococcus cremoris		DPC6856					GCF_001005395.1-RS_2024_04_12	Scaffold	2015-05-08	LAVW01	176.0	SAMN03396924
GCF_925285105.1	IM1456	Lactococcus cremoris					IM1456		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-06-14	CAKMBC01		SAMEA12009037
GCF_006351055.1	ASM635105v1	Lactococcus cremoris		DPC 169					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-15	VERY01		SAMN11959985
GCF_030005475.1	ASM3000547v1	Lactococcus cremoris		CHLC-LB04					GCF_030005475.1-RS_2024_05_14	Scaffold	2023-05-12	JARUVX01	141.0	SAMN34041188
GCF_025211495.1	ASM2521149v1	Lactococcus cremoris		CIRM-BIA 1573					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RILT01		SAMN10365550
GCF_025211635.1	ASM2521163v1	Lactococcus cremoris		CIRM-BIA 1560					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIME01		SAMN10365538
GCF_025211575.1	ASM2521157v1	Lactococcus cremoris		CIRM-BIA 636					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RILS01		SAMN10365551
GCF_025131115.1	ASM2513111v1	Lactococcus cremoris		HER1205					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIEQ01		SAMN10365173
GCF_025212045.1	ASM2521204v1	Lactococcus cremoris		CIRM-BIA 632					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMS01		SAMN10365524
GCF_030005255.1	ASM3000525v1	Lactococcus cremoris		CHLC-LB09					GCF_030005255.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWC01	170.0	SAMN34041193
GCF_025211715.1	ASM2521171v1	Lactococcus cremoris		CIRM-BIA 643					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMM01		SAMN10365530
GCF_030005355.1	ASM3000535v1	Lactococcus cremoris		CHLC-LB05					GCF_030005355.1-RS_2024_05_14	Scaffold	2023-05-12	JARUVY01	144.0	SAMN34041189
GCF_025211795.1	ASM2521179v1	Lactococcus cremoris		CIRM-BIA 1646					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMQ01		SAMN10365526
GCF_001622375.1	ASM162237v1	Lactococcus cremoris		SK110					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-18	LITF01		SAMN03770946
GCF_030005115.1	ASM3000511v1	Lactococcus cremoris		CHLC-LB21					GCF_030005115.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWL01	165.0	SAMN34041202
GCF_025211515.1	ASM2521151v1	Lactococcus cremoris		CIRM-BIA 87					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RILU01		SAMN10365549
GCF_001622405.1	ASM162240v1	Lactococcus cremoris		AM2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-18	LITE01		SAMN03770945
GCF_025131125.1	ASM2513112v1	Lactococcus cremoris		188					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIER01		SAMN10365172
GCF_002563595.1	ASM256359v1	Lactococcus cremoris		ASCC 1263					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-10-17	MUHT01	165.0	SAMN06226870
GCF_030005315.1	ASM3000531v1	Lactococcus cremoris		CHLC-LB07					GCF_030005315.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWA01	162.0	SAMN34041191
GCF_030361105.1	ASM3036110v1	Lactococcus cremoris		TOM.10.15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-27	JAUCAM01		SAMN35776888
GCF_030005265.1	ASM3000526v1	Lactococcus cremoris		CHLC-LB10					GCF_030005265.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWD01	163.0	SAMN34041194
GCF_030005215.1	ASM3000521v1	Lactococcus cremoris		CHLC-LB13					GCF_030005215.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWG01	188.0	SAMN34041197
GCF_019039095.1	ASM1903909v1	Lactococcus cremoris		R1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-06-26	JAHOPE01		SAMN19771049
GCF_030005335.1	ASM3000533v1	Lactococcus cremoris		CHLC-LB06					GCF_030005335.1-RS_2024_05_14	Scaffold	2023-05-12	JARUVZ01	175.0	SAMN34041190
GCF_025211645.1	ASM2521164v1	Lactococcus cremoris		CIRM-BIA 2199					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMD01		SAMN10365539
GCF_030005195.1	ASM3000519v1	Lactococcus cremoris		CHLC-LB12					GCF_030005195.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWF01	189.0	SAMN34041196
GCF_025211995.1	ASM2521199v1	Lactococcus cremoris		CIRM-BIA 2198					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMT01		SAMN10365523
GCF_025211875.1	ASM2521187v1	Lactococcus cremoris		CIRM-BIA 86					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMU01		SAMN10365522
GCF_030005145.1	ASM3000514v1	Lactococcus cremoris		CHLC-LB18					GCF_030005145.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWI01	180.0	SAMN34041199
GCF_025131135.1	ASM2513113v1	Lactococcus cremoris		189					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIES01		SAMN10365171
GCF_025131175.1	ASM2513117v1	Lactococcus cremoris		HER1203					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-10	RIET01		SAMN10365170
GCF_001622315.1	ASM162231v1	Lactococcus cremoris		B40					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-18	LITC01		SAMN03770941
GCF_030005235.1	ASM3000523v1	Lactococcus cremoris		CHLC-LB11					GCF_030005235.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWE01	203.0	SAMN34041195
GCF_030005375.1	ASM3000537v1	Lactococcus cremoris		CHLC-LB03					GCF_030005375.1-RS_2024_05_14	Scaffold	2023-05-12	JARUVW01	199.0	SAMN34041187
GCF_030005095.1	ASM3000509v1	Lactococcus cremoris		CHLC-LB20					GCF_030005095.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWK01	212.0	SAMN34041201
GCF_030005175.1	ASM3000517v1	Lactococcus cremoris		CHLC-LB15					GCF_030005175.1-RS_2024_05_14	Contig	2023-05-12	JARUWH01		SAMN34041198
GCF_030005295.1	ASM3000529v1	Lactococcus cremoris		CHLC-LB08					GCF_030005295.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWB01	187.0	SAMN34041192
GCF_025211855.1	ASM2521185v1	Lactococcus cremoris		CIRM-BIA 84					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMR01		SAMN10365525
GCF_030005135.1	ASM3000513v1	Lactococcus cremoris		CHLC-LB19					GCF_030005135.1-RS_2024_05_14	Scaffold	2023-05-12	JARUWJ01	232.0	SAMN34041200
GCF_004369165.1	ASM436916v1	Lactococcus cremoris		ASCC880900					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-03-25	MSGR01		SAMN06169711
GCF_025211455.1	ASM2521145v1	Lactococcus cremoris		CIRM-BIA 638					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RILP01		SAMN10365554
GCF_025212015.1	ASM2521201v1	Lactococcus cremoris		CIRM-BIA 79					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-14	RIMV01		SAMN10365521
GCF_006351105.1	ASM635110v1	Lactococcus cremoris		DPC140					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-15	VERZ01		SAMN11959984
GCF_001622215.1	ASM162221v1	Lactococcus cremoris		HP					GCF_001622215.1-RS_2024_04_04	Contig	2016-04-18	LIYE01		SAMN03770943
GCF_001622365.1	ASM162236v1	Lactococcus cremoris		FG2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-18	LITD01		SAMN03770942
GCF_000731635.1	LlactisGE214	Lactococcus cremoris subsp. cremoris GE214		GE214					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-07-18	AZSI01		SAMN02899667
GCF_001868765.1	ASM186876v1	Lactobacillus acidophilus		KLDS 1.0901					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-11-07	MNPO01	7.0	SAMN05949236
GCF_029334915.1	ASM2933491v1	Lactobacillus acidophilus		MehediL2					GCF_029334915.1-RS_2024_03_31	Contig	2023-03-21	JARJMM01		SAMN33770778
GCF_002914945.1	ASM291494v1	Lactobacillus acidophilus		BA05					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-02-02	NIGU01		SAMN07187785
GCF_017009725.1	ASM1700972v1	Lactobacillus acidophilus		LA1063					GCF_017009725.1-RS_2024_04_03	Contig	2021-02-26	JAAUOF01		SAMN14422845
GCF_017009715.1	ASM1700971v1	Lactobacillus acidophilus		La-5					GCF_017009715.1-RS_2024_04_03	Contig	2021-02-26	JAAQQS01		SAMN14401351
GCF_025495965.1	ASM2549596v1	Lactobacillus acidophilus		CUL21B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-29	QQNY01		SAMN09704984
GCF_017009515.1	ASM1700951v1	Lactobacillus acidophilus		BCRC 14065					GCF_017009515.1-RS_2024_04_03	Contig	2021-02-26	JAAONR01		SAMN14363925
GCF_017009605.1	ASM1700960v1	Lactobacillus acidophilus		BCRC 16099					GCF_017009605.1-RS_2024_04_03	Contig	2021-02-26	JAAOXP01		SAMN14371312
GCF_033598375.1	ASM3359837v1	Lactobacillus acidophilus		NSL					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-13	JAWVAZ01	33.0	SAMN38110916
GCF_027672145.1	ASM2767214v1	Lactobacillus acidophilus		AM18-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDYZ01	18.0	SAMN31809054
GCF_037996485.1	ASM3799648v1	Lactobacillus acidophilus		ATA-LTC-La060301					GCF_037996485.1-RS_2024_04_08	Scaffold	2024-04-06	JBBNBC01	171.0	SAMN40696271
GCF_037996565.1	ASM3799656v1	Lactobacillus acidophilus		ATA-LTC-La010201					GCF_037996565.1-RS_2024_04_08	Scaffold	2024-04-06	JBBNBA01	160.0	SAMN40696269
GCF_017009595.1	ASM1700959v1	Lactobacillus acidophilus		BCRC 17008					GCF_017009595.1-RS_2024_04_03	Contig	2021-02-26	JAAOXQ01		SAMN14371317
GCF_027672405.1	ASM2767240v1	Lactobacillus acidophilus		AM13-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-11	JAQDYL01	18.0	SAMN31809040
GCF_003061965.1	ASM306196v1	Lactobacillus acidophilus		DS13_1A					GCF_003061965.1-RS_2024_04_01	Contig	2018-04-14	QAHR01		SAMN05583782
GCF_003053135.1	ASM305313v1	Lactobacillus acidophilus		DS24_1					GCF_003053135.1-RS_2024_04_01	Contig	2018-04-17	QAZX01		SAMN06464090
GCF_003062025.1	ASM306202v1	Lactobacillus acidophilus		DS11_1A					GCF_003062025.1-RS_2024_04_01	Contig	2018-04-14	QAHS01		SAMN05583779
GCF_003062045.1	ASM306204v1	Lactobacillus acidophilus		DS1_1A					GCF_003062045.1-RS_2024_04_01	Contig	2018-04-14	QAHT01		SAMN05583775
GCF_002406675.1	ASM240667v1	Lactobacillus acidophilus		P2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-10-01	NXEY01		SAMN07665576
GCF_036347815.1	ASM3634781v1	Lactobacillus acidophilus		MCC 0241					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-03	JAZDUB01		SAMN39602792
GCF_036350535.1	ASM3635053v1	Lactobacillus acidophilus		MCC 0257					GCF_036350535.1-RS_2024_03_15	Contig	2024-02-03	JAZDUD01		SAMN39603457
GCF_003061905.1	ASM306190v1	Lactobacillus acidophilus		DS13_1B					GCF_003061905.1-RS_2024_04_01	Contig	2018-04-14	QAHM01		SAMN05583783
GCF_017009695.1	ASM1700969v1	Lactobacillus acidophilus		BCRC 80064					GCF_017009695.1-RS_2024_04_03	Contig	2021-02-26	JAAPAS01		SAMN14371424
GCF_017009655.1	ASM1700965v1	Lactobacillus acidophilus		BCRC 17481					GCF_017009655.1-RS_2024_04_03	Contig	2021-02-26	JAAOXR01		SAMN14371318
GCF_003061925.1	ASM306192v1	Lactobacillus acidophilus		DS9_1A					GCF_003061925.1-RS_2024_03_31	Contig	2018-04-14	QAHN01		SAMN05583792
GCF_003061985.1	ASM306198v1	Lactobacillus acidophilus		DS5_1A					GCF_003061985.1-RS_2024_04_01	Contig	2018-04-14	QAHP01		SAMN05583788
GCF_017009485.1	ASM1700948v1	Lactobacillus acidophilus		BCRC 12255					GCF_017009485.1-RS_2024_04_03	Contig	2021-02-26	JAAONQ01		SAMN14363914
GCF_017009475.1	ASM1700947v1	Lactobacillus acidophilus		BCRC 14079					GCF_017009475.1-RS_2024_04_03	Contig	2021-02-26	JAAONS01		SAMN14363926
GCF_003061885.1	ASM306188v1	Lactobacillus acidophilus		DS20_1					GCF_003061885.1-RS_2024_04_01	Contig	2018-04-14	QAHL01		SAMN06464087
GCF_017009575.1	ASM1700957v1	Lactobacillus acidophilus		BCRC 16092					GCF_017009575.1-RS_2024_04_03	Contig	2021-02-26	JAAONT01		SAMN14363928
GCF_009741835.1	ASM974183v1	Lactobacillus acidophilus		LA_AVK2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-12-11	WPCN01		SAMN13198280
GCF_013867555.1	ASM1386755v1	Lactobacillus acidophilus		s-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-07-28	JACEIW01	21.0	SAMN15579838
GCF_022509485.1	ASM2250948v1	Lactobacillus acidophilus		QAULAN51					GCF_022509485.1-RS_2024_04_03	Scaffold	2022-03-07	JAJAOM01	21.0	SAMN20114166
GCF_009742735.1	ASM974273v1	Lactobacillus acidophilus		LA_AVK1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-12-11	WPCL01		SAMN13198235
GCF_013867605.1	ASM1386760v1	Lactobacillus acidophilus		s-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-07-28	JACEQX01		SAMN15579847
GCF_003641085.1	ASM364108v1	Lactobacillus acidophilus		UBLA-34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-10-07	RBHY01		SAMN10136005
