Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_002765455.1	ASM276545v1	Escherichia coli O26:H11		10062					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-10-27	BEND01	301.0	SAMD00075839
GCF_019930165.1	ASM1993016v1	Klebsiella pneumoniae		MRSN15882					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-10	JAGYEL01		SAMN18874699
GCF_022898895.1	ASM2289889v1	Staphylococcus aureus		Crie-F277					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-04-11	JALJBH01	133.0	SAMN27304878
GCF_030644605.1	ASM3064460v1	Klebsiella pneumoniae		Kp_2016-1200					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-04		3.0	SAMN22106519
GCF_002511935.1	ASM251193v1	Escherichia coli		MOD1-EC6506					GCF_002511935.1-RS_2024_04_26	Contig	2017-10-11	NLWJ01		SAMN04993126
GCF_002992875.1	ASM299287v1	Acinetobacter baumannii		KUSSH25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-03-09	NEPS01		SAMN06690266
GCF_003038395.1	ASM303839v1	Staphylococcus aureus		SAM-23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-04-05	PYET01		SAMN08683535
GCF_018441565.1	ASM1844156v1	Escherichia coli		Survcare176					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-05-21	JAFHXV01	176.0	SAMN17372088
GCF_002845065.1	ASM284506v1	Klebsiella pneumoniae		HA-99					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-12-19	PJOT01	129.0	SAMN08176475
GCF_003119635.1	ASM311963v1	Salmonella enterica subsp. enterica serovar Rubislaw		122					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-05-02	QDPW01		SAMN08514336
GCF_001649375.1	ASM164937v1	Shigella flexneri		SH4s02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-05-20	LVJC01		SAMN04570190
GCF_023706445.1	ASM2370644v1	Staphylococcus aureus		JARB-OU1147					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-05-11	BQZG01		SAMD00278421
GCF_024701225.1	ASM2470122v1	Salmonella enterica subsp. enterica serovar Heidelberg		47271					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-08-15	JABFNA01		SAMN14860510
GCF_004005745.1	ASM400574v1	Klebsiella pneumoniae		102B8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-01-08	RZUV01		SAMN10644674
GCF_018423565.1	ASM1842356v1	Pseudomonas aeruginosa		MS6003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-05-20	JAEVFV01		SAMN17602087
GCF_035582475.1	ASM3558247v1	Escherichia coli		W24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-11		3.0	SAMN38703811
GCF_039032015.1	ASM3903201v1	Salmonella enterica subsp. enterica serovar Typhi		H58-1784					GCF_039032015.1-RS_2024_05_05	Contig	2024-05-02	JBBWXK01		SAMN40738099
GCF_000452405.2	ASM45240v2	Clostridioides difficile CD86		CD86					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2013-08-20	AVHG01		SAMN01766627
GCF_022096315.1	ASM2209631v1	Listeria monocytogenes		A/1829/2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-02-08	JAEMWK01	23.0	SAMN17136314
GCF_003549125.1	ASM354912v1	Salmonella enterica subsp. enterica serovar Derby		2015LSAL04264					GCF_003549125.1-RS_2024_05_08	Contig	2018-09-12	PCHO01		SAMN07735012
GCF_024495725.1	ASM2449572v1	Salmonella enterica subsp. enterica serovar Typhimurium		SG_011					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-07-30	JANHLW01		SAMN29637724
GCF_030358205.1	ASM3035820v1	Escherichia coli		TUM13883					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-27	JAUCHP01		SAMN35654557
GCF_033547725.1	ASM3354772v1	Klebsiella pneumoniae		Q166					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-12	JAWUCG01		SAMN37449899
GCF_002235295.1	ASM223529v1	Klebsiella pneumoniae		51					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-28	NGXA01	148.0	SAMN06917644
GCF_031884375.1	ASM3188437v1	Salmonella enterica subsp. enterica serovar Oslo		OSS 678					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-09-25	JASNFL01	606.0	SAMN34578414
GCF_033344115.1	ASM3334411v1	Escherichia coli		MG1655 - AZIC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-11-05	JAWPHP01	500.0	SAMN38018164
GCF_004317745.1	ASM431774v1	Clostridioides difficile		FD223					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-01-29	BIUQ01	154.0	SAMD00155988
GCF_009792765.1	ASM979276v1	Staphylococcus aureus		OP21					GCF_009792765.1-RS_2024_04_27	Contig	2019-12-23	VKBQ01		SAMN12215020
GCF_009846955.1	ASM984695v1	Streptococcus pyogenes		INFECT5048_SPY					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-01-10	WVHA01		SAMN13634602
GCF_003973815.1	ASM397381v1	Pseudomonas aeruginosa		Zw73_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-27	RWZR01		SAMN10478565
GCF_016432785.1	ASM1643278v1	Escherichia coli		1EC213					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-29		7.0	SAMN15945290
GCF_029360225.1	ASM2936022v1	Escherichia coli		619_B8_1					GCF_029360225.1-RS_2024_05_19	Scaffold	2023-03-22	JARAGY01	134.0	SAMN32539323
GCF_022131485.1	ASM2213148v1	Escherichia coli		JPI_EC17004					GCF_022131485.1-RS_2024_05_16	Contig	2022-02-09	JAJHIE01		SAMN22610085
GCF_003969355.1	ASM396935v1	Pseudomonas aeruginosa		MRSN16383					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-24	RXVQ01		SAMN09788384
GCF_004568405.1	ASM456840v1	Escherichia coli		URMC_171					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-04-02	RZCM01		SAMN10625652
GCF_007001305.1	ASM700130v1	Clostridioides difficile		LC1-11-1120					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-07-15	QWVK01		SAMN09907152
GCF_003941405.1	ASM394140v1	Acinetobacter baumannii		AB_074					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-12-12	RHZY01	78.0	SAMN10249195
GCF_022547425.1	ASM2254742v1	Escherichia coli		ZJ1340					GCF_022547425.1-RS_2024_04_27	Contig	2022-03-11	MCEV01		SAMN05437869
GCF_028655575.1	ASM2865557v1	Klebsiella pneumoniae		307A8					GCF_028655575.1-RS_2024_03_25	Contig	2023-02-15	JAQTGZ01		SAMN32779443
GCF_033140565.1	ASM3314056v1	Pseudomonas aeruginosa		SSI_PA29					GCF_033140565.1-RS_2024_03_16	Contig	2023-10-30	JAWLOJ01		SAMN37360101
GCF_008375035.1	ASM837503v1	Klebsiella pneumoniae		169F10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-13	VUCZ01		SAMN12676053
GCF_024701165.1	ASM2470116v1	Salmonella enterica subsp. enterica		UFGD78					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-08-15	JABFAL01		SAMN14852286
GCF_003145895.1	ASM314589v1	Escherichia coli		Spr2013_WWKa_ALT_63					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-21	NBJW01	139.0	SAMN06641816
GCF_019900345.2	ASM1990034v2	Klebsiella pneumoniae		MN-03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-04		3.0	SAMN20362511
GCF_009387915.1	ASM938791v1	Klebsiella pneumoniae		LH375					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-29		6.0	SAMN10724437
GCF_002302145.1	ASM230214v1	Clostridioides difficile		7458-N/ST10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-09-14	MPEX01		SAMN05710929
GCF_021483165.1	ASM2148316v1	Escherichia coli		pouch_m145_abx+					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-01-15	JAHCVL01		SAMN19247035
GCF_024198805.1	ASM2419880v1	Escherichia coli		WGS1360					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-07-10	JANAIM01		SAMN29499978
GCF_003069045.1	ASM306904v1	Salmonella enterica subsp. enterica serovar Saintpaul		CFSAN051002					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-04-23	QBIP01		SAMN05195897
GCF_002513435.1	ASM251343v1	Escherichia coli		MOD1-EC6484					GCF_002513435.1-RS_2024_04_29	Contig	2017-10-11	NLXA01		SAMN04993104
GCF_003598665.1	ASM359866v1	Salmonella enterica subsp. enterica serovar Schwarzengrund		MDH-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-26	QZEL01		SAMN10083768
GCF_036233555.1	ASM3623355v1	Pseudomonas aeruginosa		F014					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-26		1.0	SAMN32413514
GCF_001282025.1	ASM128202v1	Escherichia coli		EPEC 1572					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-09-15	LGBN01	285.0	SAMN03785606
GCF_003988035.1	ASM398803v1	Staphylococcus aureus		LTF21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-12-31	RCLG01	68.0	SAMN10219730
GCF_023499085.1	ASM2349908v1	Acinetobacter baumannii		CF251					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-05-18	JALJCZ01		SAMN27298898
GCF_001280405.1	ASM128040v1	Escherichia coli		SF-173					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-09-09		2.0	SAMN04026227
GCF_025457525.1	ASM2545752v1	Klebsiella pneumoniae		LE1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-28	JAMZBU01		SAMN29401978
GCF_002195695.1	ASM219569v1	Escherichia coli		UMDUCD-O157-2016-S51					GCF_002195695.1-RS_2024_03_27	Contig	2017-06-15	NHWN01		SAMN06005860
GCF_036681695.1	ASM3668169v1	Escherichia coli		MFDS1016222					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-02-16	JAQMVE01	3.0	SAMN32802443
GCF_016092005.1	ASM1609200v1	Escherichia coli		GDB8P70M					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-12-15	JAEDUS01	108.0	SAMN17035254
GCF_037622975.1	ASM3762297v1	Escherichia coli		Tc-P8-J53					GCF_037622975.1-RS_2024_04_07	Contig	2024-03-26	JBBJCQ01		SAMN40547089
GCF_031737455.1	ASM3173745v1	Enterococcus faecalis		L37					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-09-20	JAVGUJ01	46.0	SAMN37140673
GCF_024677325.1	ASM2467732v1	Klebsiella pneumoniae		KpHUPM-86					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-08-15	JANFHO01		SAMN29785355
GCF_024128995.1	ASM2412899v1	Escherichia coli		ECJHZ21-040					GCF_024128995.1-RS_2024_05_16	Contig	2022-07-03	JAMYDT01		SAMN29362519
GCF_016622475.1	ASM1662247v1	Pseudomonas aeruginosa		KOL14.W.495.33					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-01-12	WIGC01	9.0	SAMN13075203
GCF_008926165.1	ASM892616v1	Escherichia coli		ERL06-2442					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-09		2.0	SAMN10177964
GCF_036668735.1	ASM3666873v1	Escherichia coli		ESBL11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAZEVU01		SAMN37512203
GCF_022655665.1	ASM2265566v1	Salmonella enterica		P287611					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-03-21		1.0	SAMN26664046
GCF_021028355.1	ASM2102835v1	Escherichia coli		SCBcol-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-12-02	JAHUTX01		SAMN20055051
GCF_027888735.1	ASM2788873v1	Escherichia coli		EC6358					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-17	JANWRB01	153.0	SAMN30260244
GCF_017570605.1	ASM1757060v1	Escherichia coli O89m:H10		MIN12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-03-23		9.0	SAMN17831485
GCF_031627195.1	ASM3162719v1	Escherichia coli		53181					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-18	JANFJC01		SAMN29645667
GCF_030069555.1	ASM3006955v1	Escherichia coli		7Amin_TR-105-DRW-K1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-05-24	SSOZ01		SAMN11414630
GCF_033484935.1	ASM3348493v1	Klebsiella pneumoniae		KPN_3648					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-09	JAVIIM01		SAMN37208224
GCF_002110045.1	ASM211004v1	Escherichia coli B574		B574					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-04-25	ADIM01	36.0	SAMN06392830
GCF_019280565.1	ASM1928056v1	Staphylococcus aureus		SCF04					GCF_019280565.1-RS_2024_05_16	Contig	2021-07-19	JAENNY01		SAMN17106632
GCF_003429985.1	ASM342998v1	Salmonella enterica		CFSAN071945					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-28	QUTY01		SAMN08057879
GCF_003969105.1	ASM396910v1	Pseudomonas aeruginosa		MRSN20176					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-24	RXUW01		SAMN09788414
GCF_003333645.1	ASM333364v1	Escherichia coli		MOD1-ECOR58					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-07-21	QOYR01		SAMN05452815
GCF_003839685.1	ASM383968v1	Pseudomonas aeruginosa		AUS083					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-11-26	NSYW01		SAMN07423929
GCF_002543655.1	ASM254365v1	Escherichia coli		MOD1-EC5987					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-10-13	NMFV01		SAMN05439439
GCF_002485695.1	ASM248569v1	Escherichia coli		MOD1-EC6476					GCF_002485695.1-RS_2024_04_25	Contig	2017-10-06	NNVM01		SAMN04993096
GCF_019096335.1	ASM1909633v1	Klebsiella pneumoniae		Kp30LS					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-07-02	JAGTOV01		SAMN18823305
GCF_001644745.1	ASM164474v1	Escherichia coli		2013C-4465					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-05-16		2.0	SAMN04851091
GCF_036814825.1	ASM3681482v1	Listeria monocytogenes		15					GCF_036814825.1-RS_2024_03_16	Contig	2024-02-22	JAXQNG01		SAMN38602959
GCF_014877265.1	ASM1487726v1	Klebsiella pneumoniae		NMI7632_17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-10-11	JADAZE01		SAMN16327533
GCF_001034835.1	ASM103483v1	Pseudomonas aeruginosa		Pae_CF67.07m					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-06-22	LEGD01	197.0	SAMN03566357
GCF_015352595.1	ASM1535259v1	Listeria monocytogenes		LM12_7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-11-10	JADKMV01		SAMN16236822
GCF_007004475.1	ASM700447v1	Pseudomonas aeruginosa		GO72					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-07-15	VJMW01		SAMN12217301
GCF_022396075.1	ASM2239607v1	Staphylococcus aureus		SSA_237					GCF_022396075.1-RS_2024_05_02	Contig	2022-02-25	JAIPQA01		SAMN21365196
GCF_003200335.1	ASM320033v1	Salmonella enterica subsp. enterica serovar Newport		CFSAN008842					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-07	QJGC01		SAMN02900274
GCF_002887535.1	ASM288753v1	Escherichia coli		GB788					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-01-17	NEFV01	92.0	SAMN06703218
GCF_004357125.1	ASM435712v1	Acinetobacter baumannii		Pesh-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-03-19	SMUG01		SAMN09708297
GCF_017313165.1	ASM1731316v1	Escherichia coli		KG-59					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-03-09	JAFLQA01	162.0	SAMN18106606
GCF_032465415.1	ASM3246541v1	Listeria monocytogenes		BL42					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-10-09	JARWKC01	45.0	SAMN34080702
GCF_000713135.1	ASM71313v1	Escherichia coli 6-175-07_S1_C3		6-175-07_S1_C3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-06-27	JORL01		SAMN02687526
GCF_014528965.1	ASM1452896v1	Escherichia coli		SAX-P31					GCF_014528965.1-RS_2024_05_17	Scaffold	2020-09-11	JABCXV01	136.0	SAMN14611376
GCF_021197565.1	ASM2119756v1	Listeria monocytogenes		D91L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-12-14	JAHVWT01		SAMN20115104
GCF_024139095.1	ASM2413909v1	Acinetobacter baumannii		UC22850					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-07-05		2.0	SAMN19356522
GCF_002035265.1	ASM203526v1	Salmonella bongori serovar 48:z35:-		BCW_1557					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-17	MXOC01		SAMN02367601
GCF_002099465.1	ASM209946v1	Escherichia coli		KCJK1963					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-04-18	NAGC01		SAMN05757741
GCF_002769995.1	ASM276999v1	Escherichia coli O26:H11		2329					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-10-27	BEUS01	280.0	SAMD00076036
GCF_001058895.1	ASM105889v1	Escherichia coli		689_ECOL					GCF_001058895.1-RS_2024_05_07	Contig	2015-07-10	JUXA01		SAMN03197892
GCF_005391785.1	ASM539178v1	Escherichia coli		KS-NP112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-16	BFZK01	69.0	SAMD00077458
GCF_014041635.1	ASM1404163v1	Klebsiella pneumoniae		WCHKP090362					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-08-01	JACEYG01		SAMN15649157
GCF_002034185.1	ASM203418v1	Salmonella enterica		BCW_1760					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-17	MXMF01		SAMN03356970
GCF_024198465.1	ASM2419846v1	Escherichia coli		EC132					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-07-10	JANAIZ01		SAMN29499963
GCF_002775835.1	ASM277583v1	Listeria monocytogenes		LM17					GCF_002775835.1-RS_2024_05_07	Contig	2017-11-16	NPAR01		SAMN07420950
GCF_002135505.1	ASM213550v1	Streptococcus agalactiae		ST 618					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-05-15	NDGB01		SAMN06707239
GCF_006232925.1	ASM623292v1	Escherichia coli		RUSPBB104					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-06-11	SQDO01	163.0	SAMN11232973
GCF_009914255.1	ASM991425v1	Klebsiella pneumoniae		LSH-KPN25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-01-22		1.0	SAMN11634268
GCF_000827105.1	ASM82710v1	Escherichia coli O157:H16		Santai					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-01-21		1.0	SAMN02673556
GCF_025697485.1	ASM2569748v1	Pseudomonas aeruginosa		ps180					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-10-13	JAHWAM01		SAMN19868473
GCF_000358165.2	ASM35816v2	Escherichia coli P0302293.9		P0302293.9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2013-04-08	AQAF01		SAMN00829417
GCF_013055945.1	ASM1305594v1	Klebsiella pneumoniae		KP-MO-24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-05-12	RJSM01		SAMN10395638
GCF_032460815.1	ASM3246081v1	Klebsiella pneumoniae		20180422					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-10-07	JAWDAJ01		SAMN37605223
GCF_000294205.2	ASM29420v2	Enterococcus faecalis ERV68		ERV68					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2012-08-29	ALZT01	100.0	SAMN02299471
GCF_027859605.1	ASM2785960v1	Staphylococcus aureus		BK2448					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-15	JAPDFP01	34.0	SAMN31431371
GCF_008807215.1	ASM880721v1	Listeria monocytogenes		17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2019-10-03		1.0	SAMN09489129
GCF_024241635.1	ASM2424163v1	Salmonella enterica		GXC200710					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-07-12	JANAFU01	285.0	SAMN28824968
GCF_020002545.1	ASM2000254v1	Salmonella enterica		S1B16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-15	JAHQSH01		SAMN19820006
GCF_002513235.1	ASM251323v1	Escherichia coli		MOD1-EC6507					GCF_002513235.1-RS_2024_04_25	Contig	2017-10-11	NLWI01		SAMN04993127
GCF_005384845.1	ASM538484v1	Escherichia coli		JML003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BFMD01	601.0	SAMD00077112
GCF_013413415.1	ASM1341341v1	Escherichia coli		EH3319					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-07-13	JABUPQ01		SAMN14087012
GCF_015699015.1	ASM1569901v1	Escherichia coli		SEH1405					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-11-30	JABWGB01		SAMN15234497
GCF_900096255.1	ASM90009625v1	Clostridioides difficile					CD105HS17		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-04-17	FMKH01	32.0	SAMEA4428063
GCF_002379265.1	ASM237926v1	Escherichia coli		RM7806					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-09-27	NWVR01	18.0	SAMN07679720
GCF_026307015.1	ASM2630701v1	Escherichia coli		S_079_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-22	JAGFGV01		SAMN18062772
GCF_000948465.1	ASM94846v1	Escherichia coli		OLC-684					GCF_000948465.1-RS_2024_05_02	Contig	2015-03-06	JXVW01		SAMN03292337
GCF_036600075.1	ASM3660007v1	Escherichia coli		17506-15-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-14	JAWCYR01		SAMN30611518
GCF_013343635.1	ASM1334363v1	Escherichia coli O157:H7		MB9-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-15		4.0	SAMN05360217
GCF_009830855.1	ASM983085v1	Enterococcus faecalis		207AE					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	VWNZ01	81.0	SAMN12726235
GCF_026619675.1	ASM2661967v1	Escherichia coli		X_30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-02	JAIUCL01		SAMN21366023
GCF_012978145.1	ASM1297814v1	Escherichia coli		C43					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-05-06	JABBIX01		SAMN14639841
GCF_003346605.1	ASM334660v1	Klebsiella pneumoniae		2L7_Kp					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-07-30	QQQK01	56.0	SAMN09710275
GCF_015238655.1	ASM1523865v1	Klebsiella pneumoniae		ZRKP04					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-05		6.0	SAMN14411776
GCF_001520075.1	ASM152007v1	Escherichia coli		GN02612					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-01-20	LQUR01		SAMN03922947
GCF_030480735.1	ASM3048073v1	Listeria monocytogenes		LM10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-07-15	JAUJYD01		SAMN36318517
GCF_030254765.1	ASM3025476v1	Salmonella enterica subsp. enterica serovar Typhi		1521-2017_CI					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-12		1.0	SAMN33313064
GCF_007993165.1	ASM799316v1	Salmonella enterica subsp. enterica serovar Typhimurium		2327					GCF_007993165.1-RS_2024_05_20	Contig	2019-08-12	RQPN01		SAMN10416976
GCF_026800115.1	ASM2680011v1	Escherichia coli		6S-9-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-10	JAPQOD01		SAMN31827426
GCF_007993625.1	ASM799362v1	Klebsiella pneumoniae		102-1					GCF_007993625.1-RS_2024_05_07	Scaffold	2019-08-12	RBAG01	46.0	SAMN10143420
GCF_013187425.1	ASM1318742v1	Klebsiella pneumoniae		A05/05					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-05-29	JABNMS01	94.0	SAMN14896078
GCF_020525865.1	ASM2052586v1	Klebsiella pneumoniae		T69					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-19		2.0	SAMN22024799
GCF_016761285.1	ASM1676128v1	Escherichia coli		LMLEEc027					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-01-27	JACHQJ01	123.0	SAMN15719867
GCF_027087905.1	ASM2708790v1	Klebsiella pneumoniae		K58					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-19	JAPVDY01		SAMN32218035
GCF_002097165.1	ASM209716v1	Staphylococcus aureus		580					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-04-18	NAIL01		SAMN06546688
GCF_022967975.1	ASM2296797v1	Escherichia coli		E25B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-04-13	JALJTU01		SAMN27356665
GCF_031318615.1	ASM3131861v1	Klebsiella pneumoniae		K29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-09-08	JAQASZ01	98.0	SAMN32361016
